air_temperature_2m,time
288.560608,1658062800.0
289.105988,1658066400.0
288.492676,1658070000.0
287.777771,1658073600.0
286.993622,1658077200.0
286.265656,1658080800.0
285.672516,1658084400.0
285.160126,1658088000.0
284.984406,1658091600.0
284.723541,1658095200.0
284.546509,1658098800.0
285.499908,1658102400.0
285.246643,1658106000.0
284.949371,1658109600.0
285.266693,1658113200.0
285.732513,1658116800.0
286.80954,1658120400.0
287.927338,1658124000.0
288.367828,1658127600.0
289.813232,1658131200.0
290.939636,1658134800.0
290.846893,1658138400.0
291.196655,1658142000.0
292.228729,1658145600.0
291.927612,1658149200.0
292.664825,1658152800.0
293.008545,1658156400.0
292.246948,1658160000.0
290.963715,1658163600.0
290.826172,1658167200.0
290.140259,1658170800.0
289.027527,1658174400.0
288.682159,1658178000.0
288.570709,1658181600.0
288.221863,1658185200.0
287.562775,1658188800.0
286.761688,1658192400.0
286.327484,1658196000.0
287.405396,1658199600.0
288.486633,1658203200.0
289.615845,1658206800.0
290.493073,1658210400.0
291.417725,1658214000.0
292.223419,1658217600.0
291.634003,1658221200.0
289.949615,1658224800.0
292.121216,1658228400.0
293.788116,1658232000.0
293.994385,1658235600.0
293.773315,1658239200.0
293.836243,1658242800.0
292.963867,1658246400.0
290.309998,1658250000.0
289.891418,1658253600.0
289.179749,1658257200.0
288.341583,1658260800.0
287.635468,1658264400.0
287.07959,1658268000.0
286.593811,1658271600.0
284.799744,1658275200.0
284.573822,1658278800.0
284.460571,1658282400.0
284.932648,1658286000.0
286.132294,1658289600.0
287.626587,1658293200.0
288.82843,1658296800.0
289.950073,1658300400.0
291.257111,1658304000.0
292.717224,1658307600.0
293.94458,1658311200.0
294.920776,1658314800.0
295.643768,1658318400.0
296.225586,1658322000.0
296.580231,1658325600.0
296.635315,1658329200.0
296.375824,1658332800.0
295.802673,1658336400.0
294.935364,1658340000.0
293.379791,1658343600.0
291.944733,1658347200.0
290.847534,1658350800.0
289.832184,1658354400.0
288.755554,1658358000.0
288.41629,1658361600.0
287.90387,1658365200.0
287.737213,1658368800.0
288.436066,1658372400.0
289.998596,1658376000.0
291.706879,1658379600.0
293.151764,1658383200.0
294.621765,1658386800.0
296.035156,1658390400.0
297.328156,1658394000.0
298.503998,1658397600.0
299.445923,1658401200.0
300.169373,1658404800.0
300.643921,1658408400.0
300.698425,1658412000.0
300.697998,1658415600.0
300.742249,1658419200.0
300.462067,1658422800.0
299.524597,1658426400.0
297.841431,1658430000.0
296.321472,1658433600.0
295.444427,1658437200.0
294.713409,1658440800.0
294.27887,1658444400.0
292.328461,1658448000.0
292.341492,1658451600.0
292.144318,1658455200.0
292.245514,1658458800.0
293.499023,1658462400.0
294.603973,1658466000.0
295.671051,1658469600.0
296.50708,1658473200.0
298.30304,1658476800.0
299.617554,1658480400.0
300.468994,1658484000.0
300.708618,1658487600.0
301.561279,1658491200.0
301.911163,1658494800.0
301.345184,1658498400.0
301.024323,1658502000.0
300.006409,1658505600.0
297.750275,1658509200.0
296.695984,1658512800.0
295.885803,1658516400.0
295.153687,1658520000.0
294.567474,1658523600.0
294.235138,1658527200.0
293.818604,1658530800.0
291.499023,1658534400.0
290.821533,1658538000.0
290.756348,1658541600.0
290.721161,1658545200.0
290.337708,1658548800.0
290.624329,1658552400.0
290.709106,1658556000.0
291.161255,1658559600.0
292.027435,1658563200.0
292.17511,1658566800.0
292.532074,1658570400.0
293.021637,1658574000.0
292.153961,1658577600.0
288.751526,1658581200.0
287.96286,1658584800.0
288.827057,1658588400.0
288.958618,1658592000.0
288.766113,1658595600.0
288.751587,1658599200.0
288.465393,1658602800.0
288.225281,1658606400.0
288.112946,1658610000.0
287.281586,1658613600.0
286.303741,1658617200.0
287.780701,1658620800.0
287.623993,1658624400.0
287.610809,1658628000.0
287.669495,1658631600.0
287.823639,1658635200.0
288.288696,1658638800.0
289.195709,1658642400.0
290.150909,1658646000.0
290.789703,1658649600.0
291.229401,1658653200.0
291.736023,1658656800.0
292.317871,1658660400.0
292.733246,1658664000.0
293.441071,1658667600.0
294.139557,1658671200.0
294.551361,1658674800.0
294.433197,1658678400.0
294.044891,1658682000.0
293.184174,1658685600.0
291.876099,1658689200.0
290.171936,1658692800.0
289.183899,1658696400.0
288.322968,1658700000.0
287.693939,1658703600.0
286.9263,1658707200.0
286.630615,1658710800.0
286.593628,1658714400.0
287.273834,1658718000.0
288.957428,1658721600.0
290.729828,1658725200.0
292.298126,1658728800.0
293.664276,1658732400.0
294.926758,1658736000.0
295.741364,1658739600.0
296.351929,1658743200.0
296.748657,1658746800.0
297.110626,1658750400.0
297.447693,1658754000.0
297.431946,1658757600.0
297.272552,1658761200.0
296.906799,1658764800.0
296.146942,1658768400.0
295.310577,1658772000.0
294.369934,1658775600.0
293.803345,1658779200.0
293.348633,1658782800.0
293.00946,1658786400.0
292.789246,1658790000.0
291.534027,1658793600.0
291.936615,1658797200.0
291.725006,1658800800.0
291.764587,1658804400.0
291.413574,1658808000.0
291.013367,1658811600.0
291.025085,1658815200.0
291.267914,1658818800.0
292.254181,1658822400.0
294.278931,1658826000.0
295.889801,1658829600.0
296.210602,1658833200.0
296.508087,1658836800.0
295.935822,1658840400.0
295.348389,1658844000.0
292.040039,1658847600.0
292.894104,1658851200.0
292.350311,1658854800.0
291.328979,1658858400.0
291.137848,1658862000.0
290.936737,1658865600.0
291.164429,1658869200.0
291.026062,1658872800.0
290.752167,1658876400.0
290.432373,1658880000.0
289.965942,1658883600.0
289.957306,1658887200.0
290.250488,1658890800.0
290.442993,1658894400.0
291.090729,1658898000.0
291.660004,1658901600.0
291.739105,1658905200.0
292.773254,1658908800.0
293.321991,1658912400.0
293.678833,1658916000.0
293.358643,1658919600.0
293.426727,1658923200.0
292.885284,1658926800.0
292.453003,1658930400.0
292.102173,1658934000.0
291.396545,1658937600.0
291.09787,1658941200.0
290.679688,1658944800.0
290.21051,1658948400.0
289.628601,1658952000.0
289.177582,1658955600.0
289.005707,1658959200.0
288.823608,1658962800.0
287.652893,1658966400.0
287.404846,1658970000.0
287.273102,1658973600.0
287.433167,1658977200.0
287.813782,1658980800.0
288.286957,1658984400.0
288.857025,1658988000.0
289.608917,1658991600.0
289.982483,1658995200.0
290.904633,1658998800.0
291.916107,1659002400.0
292.001862,1659006000.0
291.685028,1659009600.0
291.28949,1659013200.0
290.809937,1659016800.0
289.734711,1659020400.0
289.00415,1659024000.0
288.584869,1659027600.0
288.047424,1659031200.0
287.795349,1659034800.0
287.634277,1659038400.0
287.581757,1659042000.0
287.374847,1659045600.0
287.084656,1659049200.0
286.654236,1659052800.0
286.213379,1659056400.0
285.990143,1659060000.0
285.994049,1659063600.0
286.388947,1659067200.0
287.396545,1659070800.0
288.589386,1659074400.0
289.25705,1659078000.0
289.886627,1659081600.0
290.266907,1659085200.0
290.440979,1659088800.0
290.931549,1659092400.0
290.466217,1659096000.0
290.018372,1659099600.0
289.576782,1659103200.0
289.241028,1659106800.0
288.545929,1659110400.0
288.065521,1659114000.0
287.802521,1659117600.0
287.480438,1659121200.0
287.096893,1659124800.0
286.7836,1659128400.0
286.552826,1659132000.0
286.273468,1659135600.0
285.875122,1659139200.0
285.077423,1659142800.0
284.546295,1659146400.0
284.681458,1659150000.0
285.240265,1659153600.0
286.252472,1659157200.0
287.328339,1659160800.0
288.248413,1659164400.0
288.003632,1659168000.0
288.126404,1659171600.0
288.974152,1659175200.0
289.079529,1659178800.0
288.71936,1659182400.0
288.575073,1659186000.0
288.697021,1659189600.0
288.302765,1659193200.0
287.947632,1659196800.0
288.065063,1659200400.0
287.861084,1659204000.0
287.344482,1659207600.0
286.814789,1659211200.0
286.214722,1659214800.0
285.924561,1659218400.0
285.520111,1659222000.0
285.558105,1659225600.0
284.829926,1659229200.0
284.365143,1659232800.0
284.965546,1659236400.0
285.69397,1659240000.0
287.025848,1659243600.0
287.193665,1659247200.0
288.623474,1659250800.0
290.24411,1659254400.0
291.545105,1659258000.0
293.158508,1659261600.0
294.169983,1659265200.0
294.677124,1659268800.0
295.10022,1659272400.0
294.080566,1659276000.0
294.708313,1659279600.0
294.494415,1659283200.0
289.096924,1659286800.0
289.515411,1659290400.0
288.948639,1659294000.0
288.557892,1659297600.0
288.040649,1659301200.0
287.799683,1659304800.0
287.73584,1659308400.0
284.786499,1659312000.0
284.617737,1659315600.0
284.518158,1659319200.0
285.635803,1659322800.0
287.130798,1659326400.0
289.465057,1659330000.0
290.333435,1659333600.0
291.255005,1659337200.0
292.877869,1659340800.0
294.285126,1659344400.0
295.46524,1659348000.0
295.643433,1659351600.0
296.19931,1659355200.0
297.109222,1659358800.0
297.242462,1659362400.0
297.036682,1659366000.0
296.791748,1659369600.0
295.814484,1659373200.0
294.25412,1659376800.0
292.924072,1659380400.0
291.705597,1659384000.0
290.677521,1659387600.0
290.274017,1659391200.0
289.819946,1659394800.0
287.70459,1659398400.0
286.902893,1659402000.0
286.276459,1659405600.0
286.5737,1659409200.0
287.847931,1659412800.0
288.891968,1659416400.0
289.412323,1659420000.0
290.624329,1659423600.0
291.588837,1659427200.0
291.519135,1659430800.0
290.688049,1659434400.0
289.988281,1659438000.0
292.060516,1659441600.0
293.359772,1659445200.0
293.580383,1659448800.0
294.04657,1659452400.0
293.660858,1659456000.0
292.940674,1659459600.0
291.701324,1659463200.0
289.946136,1659466800.0
288.541046,1659470400.0
287.325439,1659474000.0
286.254333,1659477600.0
285.533813,1659481200.0
284.574982,1659484800.0
284.380005,1659488400.0
284.248322,1659492000.0
284.712921,1659495600.0
285.966034,1659499200.0
287.534363,1659502800.0
288.955566,1659506400.0
290.692841,1659510000.0
292.418518,1659513600.0
293.595917,1659517200.0
294.499023,1659520800.0
295.364258,1659524400.0
295.976746,1659528000.0
296.157654,1659531600.0
296.188507,1659535200.0
295.964844,1659538800.0
295.763489,1659542400.0
295.334839,1659546000.0
294.439056,1659549600.0
293.664856,1659553200.0
293.075989,1659556800.0
292.793793,1659560400.0
292.447906,1659564000.0
292.033356,1659567600.0
291.567413,1659571200.0
291.132568,1659574800.0
291.052765,1659578400.0
291.162567,1659582000.0
