TimeStamp,WindSpeed_mps,RotorSpeed_rpm
2018-04-01 07:19:31.930,5.385546,0.03000221
2018-04-01 07:19:44.247,5.49312,0.01500111
2018-04-01 07:20:08.642,4.551279,0.03000221
2018-04-01 07:22:35.764,4.832801,0.1350099
2018-04-01 07:24:20.054,2.898765,0.1650122
2018-04-01 07:24:36.357,2.903343,0.1200088
2018-04-01 07:24:58.750,3.642625,0.06000442
2018-04-01 07:26:25.745,5.23563,0.01500111
2018-04-01 07:26:41.087,5.586961,0.01500111
2018-04-01 07:27:01.486,5.02506,0.03000221
2018-04-01 07:33:13.050,3.239796,0
2018-04-01 07:35:39.120,5.741455,0.01500111
2018-04-01 07:35:44.198,4.139295,0.03000221
2018-04-01 07:37:24.422,3.324482,0
2018-04-01 07:37:39.784,2.992606,0.01500111
2018-04-01 07:39:26.157,4.054609,0.01500111
2018-04-01 07:41:18.959,2.570322,0
2018-04-01 07:41:53.739,2.064497,0
2018-04-01 07:43:20.794,2.594355,-0.03000221
2018-04-01 07:45:03.001,3.263829,0
2018-04-01 07:50:26.897,3.469821,0
2018-04-01 07:55:30.143,3.736466,0.04500332
2018-04-01 07:55:56.711,4.589044,0.09000664
2018-04-01 07:57:14.343,2.83239,0.01500111
2018-04-01 08:00:59.016,5.249363,0.1050077
2018-04-01 08:01:38.943,4.523813,0.1050077
2018-04-01 08:03:24.165,5.755188,0.1200088
2018-04-01 08:04:39.813,5.141789,0.09000664
2018-04-01 08:06:39.666,5.20702,-0.01500111
2018-04-01 08:07:17.560,2.247602,0.01500111
2018-04-01 08:08:10.767,2.126295,0
2018-04-01 08:10:38.980,4.096952,0
2018-04-01 08:11:11.637,3.525896,0
2018-04-01 08:13:38.678,4.064909,0
2018-04-01 08:14:10.374,3.675813,0
2018-04-01 08:15:14.907,2.218992,0
2018-04-01 08:15:51.539,4.19537,0
2018-04-01 08:18:05.762,3.427478,0
2018-04-01 08:18:40.592,2.608088,-0.01500111
2018-04-01 08:19:05.088,2.935386,0
2018-04-01 08:20:53.393,3.053259,0
2018-04-01 08:22:37.783,3.774231,0
2018-04-01 08:23:05.453,2.791192,0
2018-04-01 08:23:25.792,2.715661,0
2018-04-01 08:23:31.891,1.844773,0
2018-04-01 08:23:59.461,0.2849556,0
2018-04-01 08:26:00.004,5.905104,0
2018-04-01 08:26:04.050,5.403857,0
2018-04-01 08:26:27.644,4.486048,0.01500111
2018-04-01 08:27:14.621,3.37598,-0.07500553
2018-04-01 08:28:19.995,5.076558,-0.06000442
2018-04-01 08:29:04.880,2.917076,0.06000442
2018-04-01 08:29:27.262,3.642625,0
2018-04-01 08:29:51.858,2.800347,0.03000221
2018-04-01 08:31:03.370,3.291294,0.09000664
2018-04-01 08:31:43.268,3.980223,0.06000442
2018-04-01 08:32:52.748,3.58655,0
2018-04-01 08:33:22.500,5.173832,0
2018-04-01 08:33:45.023,5.432467,-0.01500111
2018-04-01 08:35:47.629,3.066992,-0.01500111
2018-04-01 08:39:42.687,2.827812,0.01500111
2018-04-01 08:43:49.292,3.830307,0
2018-04-01 08:44:08.730,4.167905,0
2018-04-01 08:44:23.050,4.790458,0
2018-04-01 08:46:02.193,4.199948,0
2018-04-01 08:46:04.246,4.907187,0.07500553
2018-04-01 08:47:28.006,4.486048,0
2018-04-01 08:48:02.906,6.256435,0
2018-04-01 08:48:22.294,4.96784,0
2018-04-01 08:49:05.226,5.094869,0
2018-04-01 08:52:30.892,1.189032,0
2018-04-01 08:52:51.301,2.935386,-0.01500111
2018-04-01 08:56:57.245,2.449016,0
2018-04-01 08:58:13.174,2.84269,0
2018-04-01 09:00:57.100,4.48147,0
2018-04-01 09:02:10.525,4.462016,0
2018-04-01 09:02:14.581,3.488131,0.03000221
2018-04-01 09:02:27.049,4.256023,0.03000221
2018-04-01 09:03:08.949,4.392207,0
2018-04-01 09:03:21.257,3.984801,-0.03000221
2018-04-01 09:05:34.258,3.015494,0.03000221
2018-04-01 09:08:31.904,4.186215,0
2018-04-01 09:08:59.393,4.97814,0
2018-04-01 09:10:56.011,3.572817,0
2018-04-01 09:11:06.195,5.638459,0
2018-04-01 09:11:32.694,4.027143,0
2018-04-01 09:14:47.884,4.340709,0
2018-04-01 09:14:59.130,4.410518,0
2018-04-01 09:15:20.591,3.572817,0
2018-04-01 09:17:23.618,4.476893,0
2018-04-01 09:17:48.204,2.341442,-0.03000221
2018-04-01 09:18:49.612,3.624315,0.06000442
2018-04-01 09:19:01.920,3.63347,0.1500111
2018-04-01 09:19:10.091,3.1471,-0.03000221
2018-04-01 09:21:34.379,2.930808,0
2018-04-01 09:22:08.237,5.094869,0
2018-04-01 09:22:45.100,5.258518,0.04500332
2018-04-01 09:23:57.785,4.060331,0
2018-04-01 09:24:45.834,3.853195,-0.01500111
2018-04-01 09:25:51.068,4.242291,0.06000442
2018-04-01 09:26:41.060,2.861,-0.03000221
2018-04-01 09:26:47.219,3.581972,-0.03000221
2018-04-01 09:27:38.122,3.58655,0
2018-04-01 09:28:46.610,3.942458,0.1050077
2018-04-01 09:29:02.914,4.340709,0.04500332
2018-04-01 09:29:46.777,0.8846212,0
2018-04-01 09:31:20.071,4.092374,-0.01500111
2018-04-01 09:32:09.111,4.486048,0
2018-04-01 09:33:00.275,3.333637,-0.01500111
2018-04-01 09:34:45.667,3.698701,-0.01500111
